,0
cases,1.0
v39e,0.5364534127960834
v37d,0.5245255277150556
y19t,0.47036698563589685
e6a,0.470220791305513
v37h,0.4700514341618343
y25c,0.46264691734252983
esc,0.4623839356816647
y26_1a,0.42790380294743496
educ,0.4069753382994983
v37c,0.39127878078845063
y26_1d,0.37640792878231866
v12,0.3681787586612234
qautr,0.35251895409913125
v38a,0.3478881991924926
y26_1j,0.3471764565432163
y22c,0.3441953462800522
y22a,0.3440994490929787
v37e,0.3391972898598357
dautr,0.32475605449910755
dau,0.324288894129097
y22b,0.31185187958650074
qaut,0.30750377248120886
ch4,0.3030647492335811
s12,0.29989121577557737
v37g,0.2931969816290236
r6,0.27612362063484375
y20c,0.26049617828960653
v27b,0.25845454441382376
y26_1e,0.2495884321653021
v37f,0.2478482593431202
y22d,0.23743127142457227
ypc,0.23164783605113334
ypchautcor,0.2307219421502629
y20a,0.22097189001516124
v37b,0.2202045273235366
ypch,0.2166713062110783
s13,0.2130802669286737
ypchtrabajo,0.21005212236060292
v37i,0.20955148985959515
y22e,0.20731113207051666
y26_1b,0.20523689097280104
v36a,0.19799803108666877
v39c,0.17354960357561117
s15,0.1689744025832472
v19,0.1687100865302576
y0101h,0.168647417030909
pobreza,0.16858866764504613
v37a,0.13371624300231374
sexo,0.1266703227408264
o30,0.11536114119135422
e2,0.11454810067689591
v40,0.11440943643295613
y26_1f,0.11396161361215446
y20e,0.10684623934582467
yautcorh,0.10387282046308098
yauth,0.09670675262746864
comuna,0.08975703249242388
ytotcorh,0.08917124192416362
edad,0.08730038402881198
ymonecorh,0.08678424406408668
h10b,0.08502341272991704
e0,0.08049936073836757
ytoth,0.07904548315585598
yaimcorh,0.07863356207668523
ytrabajocorh,0.07851255365909163
v36c,0.07741233199211363
y27c,0.07552907854101365
r3,0.06944542086226078
r1a,0.05659147587080008
y27a,0.053734082301480544
r2,0.05285174420737013
ecivil,0.05251583917313565
yaimh,0.05096895732118213
y26_1i,0.0363341317198492
s31a1,0.033636970293269675
y20b,0.033510084969927016
s27a,0.028485521087847954
o0,0.025776185405535463
v36b,0.024837837325721333
r1b,0.023224632842336557
pres,0.018481373826028876
e6b,0.017742478865627097
y20d,0.015235015011440133
h10d,0.00478524001850146
pareja,0.002878125313077193
s4,-0.005648573545975864
y25d,-0.015805673595630915
y0,-0.01873554190380639
r0,-0.04090945010160821
v1,-0.0430753180223366
v39a,-0.04866362924790775
asiste,-0.049160830137098294
v27a,-0.05480825817103502
v2,-0.05554544613086991
e3,-0.05640237250715505
o28,-0.05818517140474139
h10f,-0.05843764403862063
s0,-0.06293853887040346
y26_1h,-0.06442955180461304
y23b,-0.06497814588468703
h10a,-0.08192562602905708
pco2,-0.08546838729783643
y26_1g,-0.09402364803295768
zona,-0.12488424881825891
y27g,-0.12858853506833753
s28,-0.14293871576298153
s33e1,-0.14687478820934932
h10c,-0.14965980774546125
y27b,-0.1685349653509432
s33j1,-0.18280142843109748
s33a1,-0.18805678832571143
v7,-0.19016161827886677
s33f1,-0.19199195482199444
v39f,-0.2007572411276096
s33d1,-0.20129144276922137
r19,-0.21160952443457334
v23,-0.21293048138501375
v13,-0.21616735404931184
v9,-0.21929691191771625
v6,-0.22130901623694332
nucleo,-0.22259249365813255
v25,-0.22310219817622098
v0b,-0.22396098514031734
v39b,-0.2242864648702606
o1,-0.22591060813843536
v8,-0.22845895112752224
indsan,-0.24417929052965137
v39g,-0.25195093237381994
v38d,-0.2537190798301037
v39d,-0.25879887304272425
s33b1,-0.2590236372283448
iai,-0.2597484731994168
v22,-0.26081525658686094
y23c,-0.2609226196333176
tot_nuc,-0.2716117344551522
v33,-0.2716117344551522
pco1,-0.27331609577359023
ch1,-0.27835971720004665
y27e,-0.2809695084136414
v38e,-0.2828781775157705
y27f,-0.28328135913782654
y26_1c,-0.2989929066088232
v4,-0.30240797657854757
v38b,-0.30321889482698167
v38c,-0.3085550244443726
y27d,-0.3110102233086199
activ,-0.3414593963883802
tot_per,-0.3428167364991058
numper,-0.3444570201771634
s33i1,-0.3467510064121096
s33g1,-0.35913553918571905
hacinamiento,-0.3672697418277621
s33h1,-0.3707873153704844
r22,-0.3837793706333882
h10e,-0.3871070883231292
v0a_1,-0.417918892538277
v20,-0.4322685984339986
v28,-0.4372842311175681
tot_hog,-0.4372842311175681
s33c1,-0.4452345265137029
tot_par,-0.4542034231705715
indmat,-0.4610597032172476
v3,-0.5194212370411591
e1,-0.5196165139386455
ysubh,-0.5260126987550083
v24,-0.5281308046994418
iae,-0.5990819099405841
v5,-0.613900941271556
calglobviv,-0.6742863388681098
